0,1151991.10349476
1,1145297.40083238
2,1138612.1667257
3,1131935.5592523
4,1125267.73996103
5,1118608.87395309
6,1111959.13007368
7,1105318.6808792
8,1098687.70285589
9,1092066.37646839
10,1085454.88622244
11,1078853.42082731
12,1072262.17331844
13,1065681.34112925
14,1059111.12626316
15,1052551.73537223
16,1046003.37981863
17,1039466.27600576
18,1032940.64527632
19,1026426.71426101
20,1019924.71478527
21,1013434.88422524
22,1006957.46551826
23,1000492.70746267
24,994040.864705532
25,987602.197925288
26,981176.974174968
27,974765.466832137
28,968367.955909526
29,961984.728171823
30,955616.077382151
31,949262.304377329
32,942923.7174278
33,936600.632230567
34,930293.372340802
35,924002.269186283
36,917727.662406539
37,911469.900012234
38,905229.338663028
39,899006.343838747
40,892801.290108309
41,886614.561403725
42,880446.551189362
43,874297.662858104
44,868168.309752611
45,862058.915752771
46,855969.915269344
47,849901.753643307
48,843854.887499713
49,837829.784821748
50,831826.925513321
51,825846.801514327
52,819889.917177332
53,813956.789561238
54,808047.948807366
55,802163.938318282
56,796305.315268647
57,790472.650840924
58,784666.530524149
59,778887.554530288
60,773136.338118088
61,767413.511920401
62,761719.722301796
63,756055.631726922
64,750421.919037458
65,744819.279922968
66,739248.427160765
67,733710.091028947
68,728205.01967895
69,722733.979316566
70,717297.754773161
71,711897.149657947
72,706532.986788865
73,701206.108410897
74,695917.376588363
75,690667.673436008
76,685457.90148247
77,680288.983794965
78,675161.86434196
79,670077.508164054
80,665036.901573266
81,660041.052367047
82,655090.989866526
83,650187.765216115
84,645332.451235247
85,640526.142635954
86,635769.955949088
87,631065.029463501
88,626412.523193313
89,621813.618624359
90,617269.518670064
91,612781.447256668
92,608350.649077983
93,603978.389154415
94,599665.952406429
95,595414.643071131
96,591225.78411473
97,587100.716441326
98,583040.798176584
99,579047.403718713
100,575121.92273374
101,571265.759080424
102,567480.329558868
103,563767.062687654
104,560127.397139364
105,556562.780332311
106,553074.66668565
107,549664.515850085
108,546333.79087863
109,543083.956079448
110,539916.475057477
111,536832.808308537
112,533834.410937179
113,530922.730194689
114,528099.202825944
115,525365.25245253
116,522722.286790604
117,520171.694754175
118,517714.843540186
119,515353.075637898
120,513087.705741964
121,510920.017662481
122,508851.261157787
123,506882.648849684
124,505015.352977865
125,503250.502372807
126,501589.179264852
127,500032.416273525
128,498581.193437518
129,497236.435287896
130,495999.008088983
131,494869.717163379
132,493849.304376176
133,492938.445767419
134,492137.749386323
135,491447.753285889
136,490868.923749269
137,490401.653733443
138,490046.261533603
139,489802.989713079
140,489672.004265177
141,489653.394046628
142,489747.170470243
143,489953.267463043
144,490271.541693223
145,490701.773058626
146,491243.665437535
147,491896.84769477
148,492660.874938604
149,493535.229997533
150,494519.325143052
151,495612.504018051
152,496814.043755764
153,498123.157297619
154,499538.995846709
155,501060.651505432
156,502687.160026969
157,504417.503668593
158,506250.61414955
159,508185.375684647
160,510220.62807894
161,512355.169845766
162,514587.761357897
163,516917.128004586
164,519341.9633228
165,521860.932128963
166,524472.673571991
167,527175.804194881
168,529968.920867446
169,532850.603695
170,535819.418760798
171,538873.920953697
172,542012.656438405
173,545234.16528856
174,548536.983811935
175,551919.646838518
176,555380.689949147
177,558918.651412023
178,562532.074288522
179,566219.508055459
180,569979.510431082
181,573810.648902132
182,577711.502205325
183,581680.661697566
184,585716.732507531
185,589818.334802692
186,593984.104711125
187,598212.695282279
188,602502.777342122
189,606853.040243606
190,611262.192452376
191,615728.962216268
192,620252.097981777
193,624830.368847661
194,629462.564906961
195,634147.497536904
196,638883.999597778
197,643670.925603246
198,648507.151876654
199,653391.576550334
200,658323.119586356
201,663300.722788059
202,668323.349709623
203,673389.985537002
204,678499.636968341
205,683651.3320827
206,688844.120057397
207,694077.07106021
208,699349.275954458
209,704659.846051093
210,710007.912783542
211,715392.627548237
212,720813.161274766
213,726268.704200179
214,731758.465494703
215,737281.672931943
216,742837.572587677
217,748425.428517064
218,754044.522292253
219,759694.152797711
220,765373.635799441
221,771082.303611617
222,776819.504754987
223,782584.60356911
224,788376.97992846
225,794196.028839687
226,800041.16008746
227,805911.797968243
228,811807.380906243
229,817727.361061856
230,823671.204126173
231,829638.38889107
232,835628.40698674
233,841640.762508739
234,847674.971824663
235,853730.563085515
236,859807.076121473
237,865904.062052309
238,872021.082960272
239,878157.711727346
240,884313.531591581
241,890488.136066135
242,896681.128556522
243,902892.12214315
244,909120.739289196
245,915366.611655122
246,921629.379828445
247,927908.693069456
248,934204.209122791
249,940515.593933762
250,946842.521542876
251,953184.673710818
252,959541.739916222
253,965913.41695004
254,972299.408821438
255,978699.426629353
256,985113.188190686
257,991540.418076193
258,997980.847279647
259,1004434.21311845
260,1010900.25901518
261,1017378.7343975
262,1023869.39451987
263,1030372.00023625
264,1036886.31799776
265,1043412.1195391
266,1049949.18188486
267,1056497.28712752
268,1063056.2223365
269,1069625.77935378
270,1076205.75477383
271,1082795.94971445
272,1089396.16981462
273,1096006.22501185
274,1102625.92948288
275,1109255.10153381
276,1115893.56342931
277,1122541.1414606
278,1129197.66558734
279,1135862.96958658
280,1142536.89076397
281,1149219.27000138
282,1155909.95163476
283,1162608.78328022
