num_bellpairs,cnot_err_prob,meas_err_prob,coherence_time,fidelity_mean,fidelity_std,fidelity_analytical
10000,0.0,0.0,0,1.0,0.0,1.0
10000,0.0,0.025,0,0.9490697600000001,0.005299732259501418,0.9506249999999999
10000,0.0,0.05,0,0.9035958399999999,0.005750140740399331,0.9025
10000,0.0,0.075,0,0.85767704,0.008704620269626926,0.8556250000000001
10000,0.0,0.1,0,0.8123299199999999,0.008446975458328272,0.81
10000,0.0,0.125,0,0.7674531599999999,0.00845872289500017,0.765625
10000,0.0,0.15,0,0.72355028,0.009724171683058657,0.7224999999999999
10000,0.0,0.175,0,0.6822827600000001,0.009217170569236538,0.6806249999999999
10000,0.0,0.2,0,0.64263284,0.009587703243968293,0.6400000000000001
10000,0.0,0.225,0,0.60453748,0.010745898853497547,0.6006250000000001
10000,0.0,0.25,0,0.56767848,0.011998633092548493,0.5625
10000,0.0,0.275,0,0.53077632,0.012808319058237112,0.525625
10000,0.0,0.3,0,0.49500972,0.013721509632748147,0.48999999999999994
10000,0.0,0.325,0,0.46125964,0.011795109504807492,0.45562500000000006
10000,0.0,0.35,0,0.42841924,0.011191778261849191,0.42250000000000004
10000,0.0,0.375,0,0.39506668,0.009336227365354808,0.390625
10000,0.0,0.4,0,0.36307451999999996,0.00992758520938501,0.36
10000,0.0,0.425,0,0.33233132,0.010969807829565657,0.33062499999999995
10000,0.0,0.45,0,0.30344227999999995,0.011552419426319321,0.30250000000000005
10000,0.0,0.475,0,0.2764424,0.01154441829456989,0.275625
10000,0.0,0.5,0,0.25125248,0.012787169426014497,0.25
10000,0.0,0.525,0,0.22923532,0.013685885735954395,0.225625
10000,0.0,0.55,0,0.20491452000000002,0.013929846081331982,0.20249999999999996
10000,0.0,0.575,0,0.1832576,0.014100163184871301,0.18062500000000004
10000,0.0,0.6,0,0.16289544,0.014441387631609365,0.16000000000000003
10000,0.0,0.625,0,0.14313549999999997,0.01477214347479742,0.140625
10000,0.0,0.65,0,0.12435425200000001,0.016065134348971256,0.12249999999999998
10000,0.0,0.675,0,0.10865723199999999,0.0150040727272223,0.10562499999999997
10000,0.0,0.7,0,0.09311329599999998,0.015301792542744266,0.09000000000000002
10000,0.0,0.725,0,0.077539644,0.016357457392151876,0.07562500000000001
10000,0.0,0.75,0,0.06463503200000001,0.014880397373261776,0.0625
10000,0.0,0.775,0,0.052550299999999994,0.014112856172525815,0.05062499999999999
10000,0.0,0.8,0,0.04293125600000001,0.012797427211625937,0.03999999999999998
10000,0.0,0.825,0,0.032963273812,0.01358464836259058,0.030625000000000017
10000,0.0,0.85,0,0.025337015919999997,0.011788729251356633,0.022500000000000006
10000,0.0,0.875,0,0.018703129199999998,0.011278805137362706,0.015625
10000,0.0,0.9,0,0.014167981999999999,0.01084828652834981,0.009999999999999995
10000,0.0,0.925,0,0.007688916719999999,0.008527324485571289,0.005624999999999994
10000,0.0,0.95,0,0.00416607872,0.0065438222289837455,0.0025000000000000044
10000,0.0,0.975,0,0.0013327197320000001,0.004932637706540404,0.0006250000000000011
10000,0.023438,0.0,0,0.9815519549999999,0.0030681894666032272,0.9812496
10000,0.046875,0.0,0,0.9625632099999999,0.004268448185921905,0.9625
10000,0.070313,0.0,0,0.9438891699999999,0.004212733488021762,0.9437496000000001
10000,0.09375,0.0,0,0.9247023899999999,0.00510122015971669,0.925
10000,0.117188,0.0,0,0.90603394,0.005634898049335054,0.9062496
10000,0.140625,0.0,0,0.8870377399999999,0.0065406780995856985,0.8875
10000,0.164063,0.0,0,0.86825578,0.00737118681499798,0.8687496
10000,0.1875,0.0,0,0.848868575,0.007512058696813741,0.85
10000,0.210938,0.0,0,0.8307163,0.007586146681945981,0.8312496
10000,0.234375,0.0,0,0.81223307,0.008196884349257343,0.8125
10000,0.257812,0.0,0,0.7920804699999999,0.008739874493898639,0.7937504000000001
10000,0.28125,0.0,0,0.774040555,0.008340039125626152,0.775
10000,0.304688,0.0,0,0.7554861549999999,0.00891163218333067,0.7562496
10000,0.328125,0.0,0,0.73630732,0.009736470487173474,0.7375
10000,0.351562,0.0,0,0.717649405,0.009631199929446744,0.7187504
10000,0.375,0.0,0,0.699697105,0.010338803964384613,0.7
10000,0.398438,0.0,0,0.6809800250000001,0.01067390313635903,0.6812495999999999
10000,0.421875,0.0,0,0.6619341799999999,0.009587940833025619,0.6625
10000,0.445313,0.0,0,0.6421847700000001,0.009647338194916767,0.6437495999999999
10000,0.46875,0.0,0,0.62469082,0.010964848445719625,0.625
10000,0.492188,0.0,0,0.60686068,0.011517534472168942,0.6062495999999999
10000,0.515625,0.0,0,0.58865497,0.011553935560626087,0.5875
10000,0.539063,0.0,0,0.5696976100000001,0.011242691635364723,0.5687496000000001
10000,0.5625,0.0,0,0.5508905249999999,0.011643735241724408,0.55
10000,0.585938,0.0,0,0.532045625,0.011830423269028672,0.5312496
10000,0.609375,0.0,0,0.51233057,0.012058349388913061,0.5125
10000,0.632812,0.0,0,0.49327389999999993,0.011742456780844457,0.4937504
10000,0.65625,0.0,0,0.47491089000000003,0.01169245441504477,0.475
10000,0.679688,0.0,0,0.4564645,0.012581292810756772,0.45624960000000003
10000,0.703125,0.0,0,0.438458995,0.013014161606687348,0.4375
10000,0.726562,0.0,0,0.4191318949999999,0.013402837311329829,0.41875039999999997
10000,0.75,0.0,0,0.400927761904762,0.012196571838429737,0.4
10000,0.773438,0.0,0,0.38237009523809523,0.011957849162210056,0.3812496000000001
10000,0.796875,0.0,0,0.36347290909090907,0.01256743600326976,0.36250000000000004
10000,0.820312,0.0,0,0.3438026235294117,0.012197359199217692,0.3437504
10000,0.84375,0.0,0,0.325642202247191,0.013046135700779025,0.325
10000,0.867188,0.0,0,0.3069627647058823,0.013036035396633587,0.3062496
10000,0.890625,0.0,0,0.28720826190476195,0.013063746471054053,0.2875
10000,0.914063,0.0,0,0.2679794642857143,0.012961083373889508,0.26874960000000003
10000,0.9375,0.0,0,0.25020325301204815,0.011997280356315474,0.25
10000,0.0,0.0,9728,0.8153894347826087,0.008678132896227575,0.8311133385394538
10000,0.0,0.025,9728,0.7761272800000001,0.010638739570155863,0.7928567104189397
10000,0.0,0.05,9728,0.7406471600000001,0.010229283969780099,0.7555686045293248
10000,0.0,0.075,9728,0.7063936000000001,0.01304122636257803,0.7192490208706089
10000,0.0,0.1,9728,0.6710834,0.012495778387919664,0.6838979594427922
10000,0.0,0.125,9728,0.6386324800000001,0.010763756158962353,0.6495154202458745
10000,0.0,0.15,9728,0.6038888,0.012202212966507347,0.6161014032798559
10000,0.0,0.175,9728,0.5737164,0.013315128130063183,0.5836559085447363
10000,0.0,0.2,9728,0.5413284,0.013589210034435409,0.552178936040516
10000,0.0,0.225,9728,0.50931252,0.013471615146284421,0.5216704857671948
10000,0.0,0.25,9728,0.48088887999999996,0.011127607859086334,0.4921305577247724
10000,0.0,0.275,9728,0.4534514,0.010397801294504523,0.4635591519132493
10000,0.0,0.3,9728,0.4263602800000001,0.009647845942053592,0.4359562683326252
10000,0.0,0.325,9728,0.4032633199999999,0.013407308796980846,0.4093219069829003
10000,0.0,0.35,9728,0.3834825600000001,0.011833720247090515,0.38365606786407436
10000,0.0,0.375,9728,0.35896448,0.016906765278124607,0.3589587509761476
10000,0.0,0.4,9728,0.33224592000000003,0.013246659790060287,0.33522995631911984
10000,0.0,0.425,9728,0.31432344000000007,0.011231871968928412,0.31246968389299123
10000,0.0,0.45,9728,0.29015992,0.008776444259129094,0.29067793369776185
10000,0.0,0.475,9728,0.2676132,0.012179403420529268,0.26985470573343134
10000,0.0,0.5,9728,0.24473656000000002,0.012800831210761279,0.25
10000,0.0,0.525,9728,0.22717544,0.012092889418430983,0.23111381649746776
10000,0.0,0.55,9728,0.21629992,0.01361343674733166,0.21319615522583457
10000,0.0,0.575,9728,0.19591644,0.009802828543150184,0.19624701618510054
10000,0.0,0.6,9728,0.18460488000000003,0.012936224593968676,0.18026639937526556
10000,0.0,0.625,9728,0.16676564,0.01308613980325749,0.16525430479632966
10000,0.0,0.65,9728,0.15082272,0.015543820646211794,0.15121073244829286
10000,0.0,0.675,9728,0.13744592,0.012112154206151771,0.1381356823311551
10000,0.0,0.7,9728,0.12599064000000001,0.009961131128059703,0.12602915444491652
10000,0.0,0.725,9728,0.117833844,0.012562823650121974,0.11489114878957701
10000,0.0,0.75,9728,0.11091106,0.010110844589132998,0.10472166536513655
10000,0.0,0.775,9728,0.09912750000000001,0.010495961890632033,0.0955207041715952
10000,0.0,0.8,9728,0.091408776,0.011375119998919747,0.08728826520895291
10000,0.0,0.825,9728,0.08514162,0.013159112664218663,0.08002434847720978
10000,0.0,0.85,9728,0.07889114,0.009519246808902478,0.0737289539763657
10000,0.0,0.875,9728,0.07376658,0.009243398304260181,0.06840208170642069
10000,0.0,0.9,9728,0.067669688,0.010386886349751594,0.06404373166737479
10000,0.0,0.925,9728,0.064373084,0.008628399432881163,0.06065390385922797
10000,0.0,0.95,9728,0.06341759200000001,0.010901448312950717,0.05823259828198024
10000,0.0,0.975,9728,0.06345948800000001,0.010487471189731869,0.05677981493563161
10000,0.023438,0.0,9728,0.7996076212121211,0.0096976389640846,0.8165851951488536
10000,0.046875,0.0,9728,0.7852213768115942,0.009328791852283472,0.8020576716124811
10000,0.070313,0.0,9728,0.7712700294117647,0.0087921691644771,0.7875295282218809
10000,0.09375,0.0,9728,0.757516953125,0.009700966284715033,0.7730020046855084
10000,0.117188,0.0,9728,0.742913123076923,0.01047904451678932,0.7584738612949082
10000,0.140625,0.0,9728,0.7301549333333334,0.01132569997169662,0.7439463377585357
10000,0.164063,0.0,9728,0.7168997999999999,0.010944036765289126,0.7294181943679355
10000,0.1875,0.0,9728,0.704075,0.011693485632607588,0.714890670831563
10000,0.210938,0.0,9728,0.69059804,0.009919274398785425,0.7003625274409628
10000,0.234375,0.0,9728,0.6776321999999999,0.011177937727505898,0.6858350039045903
10000,0.257812,0.0,9728,0.66271016,0.013578592420954388,0.671307480368218
10000,0.28125,0.0,9728,0.6484356,0.010695154128856672,0.6567793369776176
10000,0.304688,0.0,9728,0.6306274,0.010978363491887109,0.6422511935870174
10000,0.328125,0.0,9728,0.6171684,0.010145187643410053,0.627723670050645
10000,0.351562,0.0,9728,0.60404624,0.011209279253475654,0.6131961465142726
10000,0.375,0.0,9728,0.59380948,0.010797084662518868,0.5986680031236723
10000,0.398438,0.0,9728,0.57905116,0.011503293116946981,0.5841398597330719
10000,0.421875,0.0,9728,0.56488452,0.012068092147874902,0.5696123361966996
10000,0.445313,0.0,9728,0.54832468,0.012238601821188563,0.5550841928060992
10000,0.46875,0.0,9728,0.5315855599999999,0.013540797013706396,0.5405566692697269
10000,0.492188,0.0,9728,0.51874368,0.013024973460917291,0.5260285258791266
