num_mem,num_bellpairs,completion_time_mean,completion_time_std,completion_time_analytical
1,1000,0.4818128734893999,0.014683940270255815,0.48292829826092204
2,1000,0.24170782526959997,0.006894702488168737,0.24158674420473264
4,1000,0.12069645234389999,0.0035021375360319833,0.12091596717663791
8,1000,0.06047251913749993,0.0017940852648898548,0.06058057866259055
16,1000,0.030197689719600032,0.0008359537299638792,0.030412884405566862
32,1000,0.015171503135599992,0.0004198081224230489,0.015329037277055023
