num_bellpairs,coherence_time,link_fidelity,fidelity_mean,fidelity_std,completion_time_mean,completion_time_std,purification_success_prob_mean,purification_success_prob_std,fidelity_analytical,completion_time_analytical,purification_success_prob_analytical
10000,0,0.6,0.6204949333333333,0.012148688565529284,60.618653879849056,0.4104447528589052,0.6090382618390218,0.003023473278090961,0.6204379562043797,60.553528593253496,0.6088888888888887
10000,0,0.62,0.6444265,0.010201092535442784,59.384300117761335,0.4704273036723074,0.6213211655458787,0.0033367392173142,0.6441235344581069,59.30678531009571,0.6216888888888888
10000,0,0.64,0.6692914666666664,0.01043858863299483,58.024265572443134,0.4540605432140598,0.6356971823229264,0.003603250508490347,0.6675062972292193,58.04528984796473,0.6352
10000,0,0.66,0.6921682666666666,0.009763499010543747,56.731026324919,0.39677832827849535,0.65092252030747,0.0032745929634889694,0.6905283328770875,56.774106932387916,0.6494222222222221
10000,0,0.68,0.7169696666666666,0.011248052783580905,55.584840480837535,0.3713261885014641,0.6644871363596363,0.002795777995084419,0.7131388814557132,55.49794065322715,0.6643555555555556
10000,0,0.7,0.7382632,0.01026415062048488,54.295239212260874,0.4672490334147787,0.6796877509724086,0.003945429401525317,0.7352941176470588,54.221122985115926,0.6799999999999999
10000,0,0.72,0.7590794666666666,0.009509087077574217,52.80896026808607,0.3894300090021822,0.6970564545972263,0.0034950145561493963,0.756956854735767,52.94760944980565,0.6963555555555556
10000,0,0.74,0.7776959666666666,0.008197615496729652,51.678037037957736,0.4452023983517897,0.7133284780730573,0.0037116644397390355,0.7780961873909793,51.68098096475725,0.7134222222222221
10000,0,0.76,0.7996110000000001,0.0076824583088141,50.47760951322487,0.3429866107866761,0.7314197031058269,0.0033786497087156895,0.7986870897155363,50.42445091371618,0.7311999999999999
10000,0,0.78,0.8177960666666667,0.008566827919104911,49.25239513790334,0.39040660876204314,0.7497459166180781,0.003635411425824931,0.8187099834005216,49.180876500953325,0.749688888888889
10000,0,0.8,0.8352581333333333,0.006343901300899588,47.9990833409396,0.39120707907766483,0.7692384172746672,0.003676080159029169,0.8381502890173411,47.95277350307225,0.768888888888889
10000,0,0.82,0.8568655666666665,0.008369504559941943,46.86555980222099,0.29156624579687623,0.7885201660646441,0.003725912758759108,0.8569979716024341,46.74233360309142,0.7887999999999998
10000,0,0.84,0.8750025333333333,0.006612934480916083,45.5468552130646,0.39391048449085536,0.809704066113832,0.003329347872981107,0.8752470898308806,45.551443574106614,0.8094222222222222
10000,0,0.86,0.8933434666666665,0.006060784480210092,44.46295634590147,0.3334326328491924,0.8301365358349544,0.0035716997932866484,0.8928953563021614,44.38170566846995,0.8307555555555554
