alice_dist,bob_dist,num_bellpairs,completion_time_mean,completion_time_std,completion_time_analytical
10,10,1000,0.4818128734893999,0.014683940270255815,0.48292829826092204
11,9,1000,0.52977504299223,0.015031789307341973,0.5311968907951309
12,8,1000,0.5773115083108,0.016377783762210416,0.5794654833293396
13,7,1000,0.62578143825473,0.018272397141266737,0.6277340758635482
14,6,1000,0.67309953750972,0.01806093587749469,0.6760026683977571
15,5,1000,0.7235706687154501,0.021066425006744407,0.7242712609319657
16,4,1000,0.7717420866181601,0.02167675362010913,0.7725398534661746
17,3,1000,0.81920247355041,0.021623817857915846,0.8208084460003833
18,2,1000,0.8660662484497701,0.023801854293656426,0.8690770385345922
19,1,1000,0.91695933745052,0.022625510374921814,0.9173456310688007
20,0,1000,0.9620432582779701,0.025478076862552924,0.9656142236030096
